Zip Code,primary_city,State,State Abbrev.,Primary County,FIPS Code,ENERGY STAR Zone
99501,Anchorage,Alaska,AK,Anchorage,02020,Northern
99502,Anchorage,Alaska,AK,Anchorage,02020,Northern
99503,Anchorage,Alaska,AK,Anchorage,02020,Northern
99504,Anchorage,Alaska,AK,Anchorage,02020,Northern
99505,Jber,Alaska,AK,Anchorage,02020,Northern
99506,Jber,Alaska,AK,Anchorage,02020,Northern
99507,Anchorage,Alaska,AK,Anchorage,02020,Northern
99508,Anchorage,Alaska,AK,Anchorage,02020,Northern
99509,Anchorage,Alaska,AK,Anchorage,02020,Northern
99510,Anchorage,Alaska,AK,North Slope,02185,Northern
99511,Anchorage,Alaska,AK,Anchorage,02020,Northern
99513,Anchorage,Alaska,AK,Anchorage,02020,Northern
99514,Anchorage,Alaska,AK,Anchorage,02020,Northern
99515,Anchorage,Alaska,AK,Anchorage,02020,Northern
99516,Anchorage,Alaska,AK,Anchorage,02020,Northern
99517,Anchorage,Alaska,AK,Anchorage,02020,Northern
99518,Anchorage,Alaska,AK,Anchorage,02020,Northern
99519,Anchorage,Alaska,AK,North Slope,02185,Northern
99520,Anchorage,Alaska,AK,Anchorage,02020,Northern
99521,Anchorage,Alaska,AK,Anchorage,02020,Northern
99522,Anchorage,Alaska,AK,Anchorage,02020,Northern
99523,Anchorage,Alaska,AK,Anchorage,02020,Northern
99524,Anchorage,Alaska,AK,Anchorage,02020,Northern
99529,Anchorage,Alaska,AK,Anchorage,02020,Northern
99530,Anchorage,Alaska,AK,Anchorage,02020,Northern
99540,Indian,Alaska,AK,Anchorage,02020,Northern
99545,Kongiganak,Alaska,AK,Bethel,02050,Northern
99546,Adak,Alaska,AK,Aleutians West,02016,Northern
99547,Atka,Alaska,AK,Aleutians West,02016,Northern
99548,Chignik Lake,Alaska,AK,Lake and Peninsula,02164,Northern
99549,Port Heiden,Alaska,AK,Lake and Peninsula,02164,Northern
99550,Port Lions,Alaska,AK,Kodiak Island,02150,Northern
99551,Akiachak,Alaska,AK,Bethel,02050,Northern
99552,Akiak,Alaska,AK,Bethel,02050,Northern
99553,Akutan,Alaska,AK,Aleutians East,02013,Northern
99554,Alakanuk,Alaska,AK,Wade Hampton,02270,Northern
99555,Aleknagik,Alaska,AK,Dillingham,02070,Northern
99556,Anchor Point,Alaska,AK,Kenai Peninsula,02122,Northern
99557,Aniak,Alaska,AK,Bethel,02050,Northern
99558,Anvik,Alaska,AK,Yukon-Koyukuk,02290,Northern
99559,Bethel,Alaska,AK,Bethel,02050,Northern
99561,Chefornak,Alaska,AK,Bethel,02050,Northern
99563,Chevak,Alaska,AK,Wade Hampton,02270,Northern
99564,Chignik,Alaska,AK,Lake and Peninsula,02164,Northern
99565,Chignik Lagoon,Alaska,AK,Lake and Peninsula,02164,Northern
99566,Chitina,Alaska,AK,Valdez-Cordova,02261,Northern
99567,Chugiak,Alaska,AK,Anchorage,02020,Northern
99568,Clam Gulch,Alaska,AK,Kenai Peninsula,02122,Northern
99569,Clarks Point,Alaska,AK,Dillingham,02070,Northern
99571,Cold Bay,Alaska,AK,Aleutians East,02013,Northern
99572,Cooper Landing,Alaska,AK,Kenai Peninsula,02122,Northern
99573,Copper Center,Alaska,AK,Valdez-Cordova,02261,Northern
99574,Cordova,Alaska,AK,Valdez-Cordova,02261,Northern
99575,Crooked Creek,Alaska,AK,Bethel,02050,Northern
99576,Dillingham,Alaska,AK,Dillingham,02070,Northern
99577,Eagle River,Alaska,AK,Anchorage,02020,Northern
99578,Eek,Alaska,AK,Bethel,02050,Northern
99579,Egegik,Alaska,AK,Lake and Peninsula,02164,Northern
99580,Ekwok,Alaska,AK,Dillingham,02070,Northern
99581,Emmonak,Alaska,AK,Wade Hampton,02270,Northern
99583,False Pass,Alaska,AK,Aleutians East,02013,Northern
99585,Marshall,Alaska,AK,Wade Hampton,02270,Northern
99586,Gakona,Alaska,AK,Valdez-Cordova,02261,Northern
99587,Girdwood,Alaska,AK,Anchorage,02020,Northern
99588,Glennallen,Alaska,AK,Valdez-Cordova,02261,Northern
99589,Goodnews Bay,Alaska,AK,Bethel,02050,Northern
99590,Grayling,Alaska,AK,Yukon-Koyukuk,02290,Northern
99591,Saint George Island,Alaska,AK,Aleutians West,02016,Northern
99599,Anchorage,Alaska,AK,Anchorage,02020,Northern
99602,Holy Cross,Alaska,AK,Yukon-Koyukuk,02290,Northern
99603,Homer,Alaska,AK,Kenai Peninsula,02122,Northern
99604,Hooper Bay,Alaska,AK,Wade Hampton,02270,Northern
99605,Hope,Alaska,AK,Kenai Peninsula,02122,Northern
99606,Iliamna,Alaska,AK,Lake and Peninsula,02164,Northern
99607,Kalskag,Alaska,AK,Bethel,02050,Northern
99608,Karluk,Alaska,AK,Kodiak Island,02150,Northern
99609,Kasigluk,Alaska,AK,Bethel,02050,Northern
99610,Kasilof,Alaska,AK,Kenai Peninsula,02122,Northern
99611,Kenai,Alaska,AK,Kenai Peninsula,02122,Northern
99612,King Cove,Alaska,AK,Aleutians East,02013,Northern
99613,King Salmon,Alaska,AK,Bristol Bay,02060,Northern
99614,Kipnuk,Alaska,AK,Bethel,02050,Northern
99615,Kodiak,Alaska,AK,Kodiak Island,02150,Northern
99619,Kodiak,Alaska,AK,Kodiak Island,02150,Northern
99620,Kotlik,Alaska,AK,Wade Hampton,02270,Northern
99621,Kwethluk,Alaska,AK,Bethel,02050,Northern
99622,Kwigillingok,Alaska,AK,Bethel,02050,Northern
99623,Wasilla,Alaska,AK,Matanuska-Susitna,02170,Northern
99624,Larsen Bay,Alaska,AK,Kodiak Island,02150,Northern
99625,Levelock,Alaska,AK,Lake and Peninsula,02164,Northern
99626,Lower Kalskag,Alaska,AK,Bethel,02050,Northern
99627,Mc Grath,Alaska,AK,Yukon-Koyukuk,02290,Northern
99628,Manokotak,Alaska,AK,Dillingham,02070,Northern
99629,Wasilla,Alaska,AK,Matanuska-Susitna,02170,Northern
99630,Mekoryuk,Alaska,AK,Bethel,02050,Northern
99631,Moose Pass,Alaska,AK,Kenai Peninsula,02122,Northern
99632,Mountain Village,Alaska,AK,Wade Hampton,02270,Northern
99633,Naknek,Alaska,AK,Bristol Bay,02060,Northern
99634,Napakiak,Alaska,AK,Bethel,02050,Northern
99635,Nikiski,Alaska,AK,Kenai Peninsula,02122,Northern
99636,New Stuyahok,Alaska,AK,Dillingham,02070,Northern
99637,Toksook Bay,Alaska,AK,Bethel,02050,Northern
99638,Nikolski,Alaska,AK,Aleutians West,02016,Northern
99639,Ninilchik,Alaska,AK,Kenai Peninsula,02122,Northern
99640,Nondalton,Alaska,AK,Lake and Peninsula,02164,Northern
99641,Nunapitchuk,Alaska,AK,Bethel,02050,Northern
99643,Old Harbor,Alaska,AK,Kodiak Island,02150,Northern
99644,Ouzinkie,Alaska,AK,Kodiak Island,02150,Northern
99645,Palmer,Alaska,AK,Matanuska-Susitna,02170,Northern
99647,Pedro Bay,Alaska,AK,Lake and Peninsula,02164,Northern
99648,Perryville,Alaska,AK,Lake and Peninsula,02164,Northern
99649,Pilot Point,Alaska,AK,Lake and Peninsula,02164,Northern
99650,Pilot Station,Alaska,AK,Wade Hampton,02270,Northern
99651,Platinum,Alaska,AK,Bethel,02050,Northern
99652,Big Lake,Alaska,AK,Matanuska-Susitna,02170,Northern
99653,Port Alsworth,Alaska,AK,Lake and Peninsula,02164,Northern
99654,Wasilla,Alaska,AK,Matanuska-Susitna,02170,Northern
99655,Quinhagak,Alaska,AK,Bethel,02050,Northern
99656,Red Devil,Alaska,AK,Bethel,02050,Northern
99657,Russian Mission,Alaska,AK,Wade Hampton,02270,Northern
99658,Saint Marys,Alaska,AK,Wade Hampton,02270,Northern
99659,Saint Michael,Alaska,AK,Nome,02180,Northern
99660,Saint Paul Island,Alaska,AK,Aleutians West,02016,Northern
99661,Sand Point,Alaska,AK,Aleutians East,02013,Northern
99662,Scammon Bay,Alaska,AK,Wade Hampton,02270,Northern
99663,Seldovia,Alaska,AK,Kenai Peninsula,02122,Northern
99664,Seward,Alaska,AK,Kenai Peninsula,02122,Northern
99665,Shageluk,Alaska,AK,Yukon-Koyukuk,02290,Northern
99666,Nunam Iqua,Alaska,AK,Wade Hampton,02270,Northern
99667,Skwentna,Alaska,AK,Matanuska-Susitna,02170,Northern
99668,Sleetmute,Alaska,AK,Bethel,02050,Northern
99669,Soldotna,Alaska,AK,Kenai Peninsula,02122,Northern
99670,South Naknek,Alaska,AK,Bristol Bay,02060,Northern
99671,Stebbins,Alaska,AK,Nome,02180,Northern
99672,Sterling,Alaska,AK,Kenai Peninsula,02122,Northern
99674,Sutton,Alaska,AK,Matanuska-Susitna,02170,Northern
99675,Takotna,Alaska,AK,Yukon-Koyukuk,02290,Northern
99676,Talkeetna,Alaska,AK,Matanuska-Susitna,02170,Northern
99677,Tatitlek,Alaska,AK,Valdez-Cordova,02261,Northern
99678,Togiak,Alaska,AK,Dillingham,02070,Northern
99679,Tuluksak,Alaska,AK,Bethel,02050,Northern
99680,Tuntutuliak,Alaska,AK,Bethel,02050,Northern
99681,Tununak,Alaska,AK,Bethel,02050,Northern
99682,Tyonek,Alaska,AK,Kenai Peninsula,02122,Northern
99683,Trapper Creek,Alaska,AK,Matanuska-Susitna,02170,Northern
99684,Unalakleet,Alaska,AK,Nome,02180,Northern
99685,Unalaska,Alaska,AK,Aleutians West,02016,Northern
99686,Valdez,Alaska,AK,Valdez-Cordova,02261,Northern
99687,Wasilla,Alaska,AK,Matanuska-Susitna,02170,Northern
99688,Willow,Alaska,AK,Matanuska-Susitna,02170,Northern
