State,Natural Gas,Electricity,Propane,Fuel Oil,Wood,,,,
AK,11.53,22.38,36.1,30.55,11.37,,,,
AL,16.75,14.91,29.99,24.68,8.45,,,,
AR,16.61,11.74,28.5,25.27,8.45,,,,
AZ,16.73,15.2,34.33,32.24,11.37,,,,
CA,20.25,30.55,33.94,32.74,11.37,,,,
CO,9.86,15.16,26.64,28.23,11.37,,,,
CT,14.82,28.16,43.11,27.85,6.77,,,,
DC,13.63,18.83,36.44,31.77,0,,,,
DE,13.91,16.68,33.21,31.42,8.45,,,,
FL,22.52,14.2,43.69,29.58,8.45,,,,
GA,14.37,13.49,32.8,29.02,8.45,,,,
HI,44.37,42.34,54.29,31.75,11.37,,,,
IA,8.4,12.43,21.18,29.6,8.54,,,,
ID,6.74,10.97,29.26,29.08,11.37,,,,
IL,8.48,15.99,23.51,30.06,8.54,,,,
IN,9.36,14.42,27.1,30.35,8.54,,,,
KS,11.7,13.85,23.62,30.13,8.54,,,,
KY,11.58,13.28,28.15,30.71,8.45,,,,
LA,16.36,11.7,33.62,24.78,8.45,,,,
MA,19.85,31.22,42.78,28.82,6.77,,,,
MD,14.82,18.15,36.46,31.1,8.45,,,,
ME,19.86,26.29,35.88,30.01,6.77,,,,
MI,9.46,18.41,26.28,28.79,8.54,,,,
MN,11.31,14.05,25.07,31.61,8.54,,,,
MO,12.83,11.57,25.24,29.49,8.54,,,,
MS,14.36,13.44,32.46,25.39,8.45,,,,
MT,7.41,11.87,24.61,27.43,11.37,,,,
NC,14.17,13.49,36.27,28.85,8.45,,,,
ND,7.07,10.21,21.79,29.7,8.54,,,,
NE,9.2,10.78,21.53,27.9,8.54,,,,
NH,18.24,23.62,35.84,28.87,6.77,,,,
NJ,13.47,19.49,36.39,31.17,6.77,,,,
NM,6.74,14.26,30.16,24.93,11.37,,,,
NV,13.19,14.88,34.83,32.62,11.37,,,,
NY,15.34,24.37,35.68,28.13,6.77,,,,
OH,10.45,15.98,29.44,31.43,8.54,,,,
OK,11.52,11.52,24.72,29.56,8.45,,,,
OR,16,14.12,31.7,30.53,11.37,,,,
PA,12.52,17.6,30,32.88,6.77,,,,
RI,17.61,25.31,41.47,27.88,6.77,,,,
SC,13.77,13.87,37.4,29.58,8.45,,,,
SD,7.77,12.42,23.77,29.56,8.54,,,,
TN,11.97,13.04,30.08,30.27,8.45,,,,
TX,17.27,15.32,31.58,25.21,8.45,,,,
UT,9.7,11.02,28.05,29.11,11.37,,,,
VA,13.31,14.46,36.18,29.75,8.45,,,,
VT,16.35,22.29,33.6,31.61,6.77,,,,
WA,15.58,11.83,28.81,32.51,11.37,,,,
WI,9.96,16.31,23.5,27.39,8.54,,,,
WV,11.57,14.51,36.74,29.58,8.45,,,,
WY,8.99,11.78,27.4,28.53,11.37,,,,
