Location,Longitude,Latitude,winter_avg_temp,spring_avg_temp,summer_avg_temp,fall_avg_temp,HDD,CDD,HDH,CDH,GHI
Malad City AP,-112.283,42.15,-0.48625,7.6428442028985515,21.197780797101448,7.975869963369963,3703.3416666666667,359.2208333333333,94282.5,14023.599999999997,4.396238356164384
Charleston Yeager Arpt,-81.58,38.38,0.945462963,13.357653985507246,23.037862318840578,13.267490842490842,2591.3458333333338,552.6666666666666,65140.3,16212,4.033717808219178
Columbus Metropolitan Arpt,-84.95,32.52,8.899907407407406,18.49447463768116,27.32903079710145,19.260164835164833,1177.0875,1267.0166666666664,31405.100000000002,33563.4,4.591506849315069
Little Rock Adams Field,-92.23,34.75,5.280925925925926,16.357971014492755,26.946739130434782,17.445879120879123,1738.1375,1105.5291666666662,44435.5,29252.89999999999,4.485868493150685
Salinas Municipal Ap,-121.6,36.67,10.88050925925926,12.319927536231885,16.080389492753625,14.347939560439562,1801.3125000000002,19.54999999999999,46041.90000000001,3279.5999999999995,4.844923287671233
Milwaukee Mitchell Intl Ap,-87.9,42.95,-5.839861111,7.293659420289855,20.468659420289857,10.167582417582418,4035.6083333333336,309.9041666666666,98414.8,8997.899999999998,3.854336986
Midland International Ap,-102.18,31.95,7.624444444444444,17.831521739130434,27.051313405797103,16.954487179487177,1452.6416666666667,1131.4208333333331,38707.8,30998.499999999993,5.298961643835616
Butler Co   Awos,-79.95,40.78,-0.78537037,7.508876811594202,20.244610507246374,9.783424908424909,3558.8,252.2291666666666,88292.70000000001,8935,3.8331561643835617
Camp Mabry,-97.77,30.32,10.663796296296296,20.043704710144926,28.448822463768117,20.242765567765566,967.1125000000001,1550.758333333333,25873.100000000002,39880.59999999999,4.860756164383561
Jackson-Carroll AP,-83.317,37.583,4.0465740740740745,13.724501811594203,23.218840579710143,14.318315018315019,2173.2458333333334,559.6916666666666,54520.3,15794.999999999996,4.010175342465754
Holloman Afb,-106.1,32.85,6.242962962962963,16.587952898550725,26.14664855072464,15.713919413919413,1848.5458333333336,1092.4624999999999,47796,29650,5.4549369863013695
Lafayette Regional Ap,-91.98,30.2,11.778101851851853,18.87291666666667,26.968297101449274,21.209569597069596,890.4791666666667,1418.4708333333333,23872.200000000004,36544,4.631027397260274
Trenton Mercer County Ap,-74.82,40.28,0.6006944444444444,11.726766304347827,24.026856884057974,13.688965201465201,2742.754166666667,652.3458333333333,67758.70000000001,17588.9,3.9293232876712327
Liberal Muni,-100.97,37.03,2.391388888888889,11.486277173913043,24.567708333333332,13.190979853479853,2745.6916666666666,798.7624999999998,69257.5,22531.2,4.935471232876713
Charlotte Douglas Intl Arpt,-80.95,35.22,6.184398148148148,15.650860507246376,25.483922101449274,16.414652014652013,1737.9125000000001,893.1416666666665,43935.8,23661.3,4.470556164383562
Gunnison Co   Awos,-106.93,38.53,-8.927962963,5.306793478260869,15.768659420289854,4.326419413919414,5159.308333333334,8.937499999999996,127913.30000000002,4304.399999999999,5.035202739726027
Tuscaloosa Municipal Ap,-87.62,33.22,7.081064814814815,17.806204710144925,25.324184782608697,18.61868131868132,1479.4375,1099.5291666666665,37890.600000000006,28772.799999999996,4.103457534246575
Alma-Bacon County AP,-82.5,31.533,9.223935185185185,18.716440217391305,26.38695652173913,18.37738095238095,1221.2958333333333,1193.8041666666666,32855.600000000006,32195.799999999992,4.6898328767123285
Springfield Capital Ap,-89.68,39.85,-2.619027778,12.680344202898551,23.902128623188407,12.787820512820511,3037.5333333333338,651.5999999999999,75099.7,17837.299999999996,4.162273973
Columbus Port Columbus Intl A,-82.88,39.98,-1.279537037,11.464402173913044,21.992164855072463,11.802380952380952,3060.4375000000005,417.79999999999995,75596.9,12173.599999999999,3.813567123287671
Miles City Municipal Arpt,-105.88,46.43,-6.478148148,8.047418478,21.460643115942027,8.031089743589744,4209.458333333333,392.4958333333333,104179.6,12572.5,4.150268493150684
Poplar Bluff Amos,-90.47,36.77,1.8327314814814817,15.181023550724637,25.577309782608694,15.008974358974358,2258.7000000000003,859.7291666666665,57001.90000000001,23426.6,4.212972602739726
Baudette International Ap,-94.6,48.72,-8.479768519,5.447644927536231,18.027083333333334,5.884065934065934,4823.0625,75.50833333,118877.20000000001,4935.9,3.612852055
Ainsworth Municipal,-100,42.58,-1.179814815,9.105706521739132,21.45507246376812,10.327472527472528,3456.579166666667,422.28749999999997,85910.30000000002,13087.300000000003,4.3803972602739725
Kalamazoo Battle Cr,-85.55,42.23,-3.887037037,9.976313405797102,21.268704710144927,11.937728937728938,3404.7208333333338,336.26249999999993,84161.1,10518.1,3.5262849315068494
Shannon Arpt,-77.45,38.27,3.8033796296296294,11.862998188405797,24.907201086956523,12.950732600732602,2532.7541666666666,756.9333333333332,63882.600000000006,21262.899999999998,4.176983561643836
Saint Mary S  Awos,-163.3,62.07,-8.839814815,-1.631838768,9.751358695652174,2.6878205128205126,6483.495833333333,0,155771.40000000002,167.49999999999994,2.0865808219178086
Marietta Dobbins Afb,-84.52,33.92,4.974490741,13.80181159,24.711367753623186,14.776648351648351,2077.9875,734.0791666666665,52483.5,20229.7,4.158216438356164
Vance Afb,-97.92,36.33,1.8758333333333335,13.230706521739132,26.99524456521739,15.619322344322343,2512.366666666667,1123.8374999999999,62904.7,29580,4.636271232876712
Roanoke Regional Ap,-79.97,37.32,2.5297685185185186,13.61471920289855,23.466077898550726,14.42257326007326,2343.5000000000005,615.5666666666666,58647.600000000006,17177.199999999997,4.223073973
Tampa International Ap,-82.53,27.97,15.666805555555557,22.560778985507245,27.398233695652173,23.402152014652017,356.85416666666674,1813.1916666666666,10621.2,45573.299999999996,4.962221917808219
Salem Mcnary Field,-123,44.9,4.876203703703704,10.739221014492754,19.016259057971016,12.12875457875458,2540.583333333334,141.16249999999997,65767.70000000001,8181.599999999999,3.701364383561644
Scottsbluff W B Heilig Field,-103.6,41.87,-2.806296296,8.90625,21.80973731884058,8.956410256410257,3693.7875,402.62499999999994,93158.2,14170.299999999997,4.440736986
Jonesboro Muni,-90.65,35.83,0.6973611111111111,15.373233695652173,25.604121376811595,17.410164835164835,2322.9333333333334,1060.4374999999998,57405.30000000001,27105.399999999998,4.246032876712329
Dalhart Municipal Ap,-102.55,36.02,1.4183796296296296,10.764538043478261,23.019067028985507,12.430586080586082,2896.0750000000003,583.5041666666666,73457.6,17955.899999999998,4.883975342465754
Huntington Tri State Arpt,-82.55,38.38,1.5688425925925924,13.28695652173913,23.21209239130435,13.35407509157509,2551.0041666666666,585.8333333333333,64087.4,16923.299999999996,3.9627616438356164
Dover Afb,-75.47,39.13,2.1888425925925925,10.438722826086957,23.29651268115942,13.01547619047619,2736.016666666667,541.5625,67865.90000000001,15198.999999999996,3.8563506849315066
Glasgow Intl Arpt,-106.62,48.22,-8.863194444,7.585778985507247,20.601358695652173,7.318543956043956,4523.208333333333,305.22499999999997,111512.29999999999,10280.699999999999,3.8996657534246575
New Ulm Muni  Awos,-94.5,44.32,-6.871759259,6.383514492753623,21.080661231884058,10.194001831501831,4201.291666666667,357.6916666666666,103293.5,11047.099999999999,3.673630136986301
Scottsbluff W B Heilig Field,-103.6,41.87,-2.806296296,8.90625,21.80973731884058,8.956410256410257,3693.7875,402.62499999999994,93158.2,14170.299999999997,4.440736986
Cadillac Wexford Co Ap,-85.42,44.28,-3.282083333,4.513134057971015,19.08179347826087,8.643223443223443,4247.808333333333,230.18749999999994,105107.40000000001,8684.499999999998,3.565063014
Dickinson Roosevelt Rgnl AP,-102.8,46.8,-10.09856481,6.314175724637681,19.348777173913042,5.381364468864469,4984.204166666666,246.5291666666666,123244.20000000001,9539.999999999998,3.7470739726027396
Dinwiddie Co,-77.52,37.18,5.346759259259259,14.970788043478262,24.176132246376813,15.270283882783884,1977.2250000000001,770.0458333333332,50867.200000000004,21894.9,4.121591780821918
Mobridge,-100.43,45.53,-7.623981481,6.5450634057971016,21.66322463768116,5.44720696,4689.929166666667,415.1291666666665,115040.8,12445.600000000002,3.667087671232877
Augusta Bush Field,-81.97,33.37,7.73087963,17.585461956521737,26.350181159420288,17.400961538461537,1428.6625,1070.5083333333332,37801,29205.299999999996,4.635871232876712
Caldwell  Awos,-116.63,43.63,-0.122685185,10.111684782608695,21.253623188405797,10.289514652014653,3245.0583333333334,376.4708333333333,82430.70000000001,13584.6,4.646279452054794
Anniston Metropolitan Ap,-85.85,33.58,7.716527777777778,17.68940217391304,24.402083333333334,16.72367216117216,1453.3875000000003,862.6458333333333,38080,23902.199999999997,4.004778082
Sioux Falls Foss Field,-96.75,43.58,-8.022592593,8.542436594202899,21.929483695652173,8.671840659,4220.150000000001,411.1708333333333,103753.50000000001,12337.999999999998,4.040928767123288
Univ Of Illinois Wi  Bondville,-88.37,40.06,-2.942685185,11.316259057971013,23.403623188405795,12.3610348,3181.8875,556.6291666666666,78795.1,15788.9,3.7318082191780824
